Depot,DepotLong,DepotLat,Customer,CusLong,CusLat,DeliveryDate,DOW,Beginning1,Ending1,Beginning2,Ending2,HUs,DwellTime,CBM,KGM,AllowedTrucks
2550,,,70085609,121.1725726,14.59528003,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.002,0.001,"{AUV, MC, 4w, 6w}"
2550,,,70131040,121.1140468,14.68003131,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.000381,0.000169,"{AUV, MC, 4w, 6w}"
2550,,,70284041,121.1768897,14.57600805,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.001,0.000453,"{AUV, MC, 4w, 6w}"
2550,,,70423817,121.1246105,14.62520453,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.000381,0.00019,"{AUV, MC, 4w, 6w}"
2550,,,70030503,121.176776,14.5758536,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.000381,0.000165,"{AUV, MC, 4w, 6w}"
2550,,,70523668,121.1354737,14.61708716,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.001,0.001,"{AUV, MC, 4w, 6w}"
2550,,,70132828,121.2916349,14.49499509,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.000381,0.00019,"{AUV, MC, 4w, 6w}"
2550,,,70030506,121.1389407,14.72982425,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.000381,0.00019,"{AUV, MC, 4w, 6w}"
2550,,,70153755,121.0269714,14.54929684,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.000381,0.000165,"{AUV, MC, 4w, 6w}"
2550,,,70006228,121.1200241,14.62519601,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.000381,0.00019,"{AUV, MC, 4w, 6w}"
2550,,,70247437,121.133777,14.62481106,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.000381,0.000165,"{AUV, MC, 4w, 6w}"
2550,,,70006164,121.0841682,14.62578141,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.000381,0.000169,"{AUV, MC, 4w, 6w}"
2550,,,70085612,121.1545164,14.53103429,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.000381,0.00019,"{AUV, MC, 4w, 6w}"
2550,,,70006157,121.1396511,14.56597504,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.001,0.001,"{AUV, MC, 4w, 6w}"
2550,,,70006114,121.1362998,14.56071823,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.000381,0.000165,"{AUV, MC, 4w, 6w}"
2550,,,70006242,121.0837697,14.62693374,2023-03-17,Friday,08:00,17:00,,,1.0,1.0,0.000381,0.00019,"{AUV, MC, 4w, 6w}"
2550,,,70138238,120.9615984,14.32312317,2023-03-20,Monday,07:00,20:00,,,1.0,0.25,0.03,0.018,"{AUV, MC, 4w, 6w}"
