Depot,DepotLong,DepotLat,Customer,CusLong,CusLat,DeliveryDate,DOW,Beginning1,Ending1,Beginning2,Ending2,HUs,DwellTime,CBM,KGM,AllowedTrucks
2510,121.078721444451,14.2268060600995,70465560,120.9045,14.39942,2023-01-12,Thursday,08:00,17:00,,,2.0,1.0,0.031,11.701,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70019527,121.0227709,14.20674401,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.005,0.611,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70019459,120.9407744,14.40432571,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.001,0.182,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70465560,120.9045,14.39942,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.004,0.572,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70465560,120.9045,14.39942,2023-01-12,Thursday,08:00,17:00,,,3.0,1.0,0.028,13.233,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70019480,120.8572967,14.40886541,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.002,0.222,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70029285,120.9408269,14.40933622,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.004,0.39,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70544149,120.9354379,14.37686287,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.002,0.33,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70465560,120.9045,14.39942,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.014,3.534,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70465560,120.9045,14.39942,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.001,0.142,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70043250,120.9413851,14.42278761,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.001,0.182,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70132664,120.9396642,14.39845245,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.000276,0.091,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70382544,120.8563922,14.41593786,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.002,0.286,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70019527,121.0227709,14.20674401,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.003,0.396,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70019480,120.8572967,14.40886541,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.004,0.572,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70382544,120.8563922,14.41593786,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.003,0.44,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70029285,120.9408269,14.40933622,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.004,1.274,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70029285,120.9408269,14.40933622,2023-01-12,Thursday,08:00,17:00,,,2.0,1.0,0.026,5.819,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70019480,120.8572967,14.40886541,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.001,0.06,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70029285,120.9408269,14.40933622,2023-01-12,Thursday,08:00,17:00,,,2.0,1.0,0.017,8.088,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70132664,120.9396642,14.39845245,2023-01-12,Thursday,08:00,17:00,,,1.0,1.0,0.004,1.669,"{AUV, 4w, 6w, 10w, 40ft}"
2510,121.078721444451,14.2268060600995,70382544,120.8563922,14.41593786,2023-01-12,Thursday,08:00,17:00,,,2.0,1.0,0.00025,0.061,"{AUV, 4w, 6w, 10w, 40ft}"
