Delivery,TransPlnngPt,Total Weight,Net Weight,Total Volume,Weight UOM,Volume UOM,Invoice,Invoice Creation Date,Planned Delivery Date,Shipping Type,Ship to,Delivery Type,Shipping Point,Number of HUs,Transportation Group,Delivery Route,
801516911,2522,"18,704.00","18,704.00","61,000.00",G,CCM,1511339327,4/24/2023,4/26/2023,1,70432230,ZPLF,2522,2,ZP01,SG00FE,
801516912,2522,"23,400.00","23,400.00","74,000.00",G,CCM,1511339289,4/24/2023,4/26/2023,1,70017302,ZPLF,2522,3,ZP01,SG00FL,
801861240,2522,"8,328.00","8,328.00",0,G,CCM,1511415986,5/15/2023,5/22/2023,1,70360301,ZPLF,2522,1,ZP01,SG00GP,
801877412,2522,"2,192.00","2,192.00","4,000.00",G,CCM,1511408465,5/11/2023,5/16/2023,1,70089852,ZPLF,2522,1,ZP01,SG00GV,
801877413,2522,"2,192.00","2,192.00","4,000.00",G,CCM,1511408461,5/11/2023,5/16/2023,1,70422309,ZPLF,2522,1,ZP01,NG00GH,
801877414,2522,"2,192.00","2,192.00","4,000.00",G,CCM,1511410121,5/12/2023,5/16/2023,1,70244502,ZPLF,2522,1,ZP01,SG00GS,
801877415,2522,"2,192.00","2,192.00","4,000.00",G,CCM,1511408389,5/11/2023,5/16/2023,1,70425550,ZPLF,2522,1,ZP01,SG00GN,
802169579,2522,"18,984.00","18,984.00","34,000.00",G,CCM,1511410140,5/12/2023,5/16/2023,1,70022047,ZPLF,2522,3,ZP01,NG00GC,
802169580,2522,"4,272.00","4,272.00","7,000.00",G,CCM,1511416033,5/15/2023,5/16/2023,1,70022035,ZPLF,2522,1,ZP01,NG00GK,
802176497,2522,"23,460.00","23,460.00","89,000.00",G,CCM,1511409910,5/12/2023,5/16/2023,1,70022035,ZPLF,2522,2,ZP01,NG00GK,
802176498,2522,"125,732.00","125,732.00","519,000.00",G,CCM,1511409962,5/12/2023,5/16/2023,1,70022035,ZPLF,2522,3,ZP01,NG00GK,
802176499,2522,"22,840.00","22,840.00","88,000.00",G,CCM,1511409912,5/12/2023,5/16/2023,1,70022035,ZPLF,2522,1,ZP01,NG00GK,
802176500,2522,440,440,"1,000.00",G,CCM,1511410059,5/12/2023,5/16/2023,1,70022035,ZPLF,2522,2,ZP01,NG00GK,
802176546,2522,345,345,"1,000.00",G,CCM,1511408367,5/11/2023,5/16/2023,1,70022035,ZPLF,2522,1,ZP01,NG00GK,
802176547,2522,536,536,"1,000.00",G,CCM,1511408368,5/11/2023,5/16/2023,1,70022035,ZPLF,2522,1,ZP01,NG00GK,
802176548,2522,"2,192.00","2,192.00","4,000.00",G,CCM,1511408369,5/11/2023,5/16/2023,1,70022035,ZPLF,2522,1,ZP01,NG00GK,
802176549,2522,"1,776.00","1,776.00","3,600.00",G,CCM,,,5/16/2023,1,70022035,ZPLF,2522,1,ZP01,NG00GK,
802176550,2522,528,528,"1,000.00",G,CCM,1511408370,5/11/2023,5/16/2023,1,70022035,ZPLF,2522,1,ZP01,NG00GK,
802176551,2522,"4,788.00","4,788.00","6,000.00",G,CCM,1511410033,5/12/2023,5/16/2023,1,70022035,ZPLF,2522,1,ZP01,NG00GK,
802176552,2522,"16,800.00","16,800.00","36,000.00",G,CCM,1511410048,5/12/2023,5/16/2023,1,70022035,ZPLF,2522,1,ZP01,NG00GK,
