Delivery,TransPlnngPt,Total Weight,Net Weight,Total Volume,Weight UOM,Volume UOM,Invoice,Invoice Creation Date,Planned Delivery Date,Shipping Type,Ship to,Delivery Type,Shipping Point,Number of HUs,Transportation Group,Delivery Route
175937319,25P2,"30,000,000.00","30,000,000.00","5,000.00",G,CCM,1510940558,1/4/2023,1/13/2023,1,70019315,ZPLF,2524,1,ZP01,SG00GS
175937886,25P2,24,24,0,G,CCM,1510940395,1/4/2023,1/16/2023,1,70019482,ZPLF,2524,1,ZP01,SG00GN
175937899,25P2,11,11,0,G,CCM,1510940545,1/4/2023,1/13/2023,1,70019395,ZPLF,2524,1,ZP01,SG00GS
175938275,25P2,684,684,"1,000.00",G,,1510940563,1/4/2023,1/16/2023,1,70030499,ZPLF,2524,1,ZP01,SG00GO
175938476,25P2,24,24,0,G,CCM,1510940481,1/4/2023,1/13/2023,1,70152945,ZPLF,2524,1,ZP01,SG00GS
175938512,25P2,98,98,"1,000.00",G,CCM,1510940322,1/4/2023,1/16/2023,1,70248476,ZPLF,2524,1,ZP01,SG00GO
175938571,25P2,24,24,0,G,CCM,1510940905,1/4/2023,1/16/2023,1,70030492,ZPLF,2524,1,ZP01,SG00GO
175938840,25P2,"1,465.00","1,465.00","3,000.00",G,CCM,1510940569,1/4/2023,1/13/2023,1,70343296,ZPLF,2524,1,ZP01,SG00GS
175939005,25P2,408,408,"1,000.00",G,CCM,1510940414,1/4/2023,1/16/2023,1,70337217,ZPLF,2524,1,ZP01,SG00GN
175939064,25P2,230,230,"1,000.00",G,CCM,1510940538,1/4/2023,1/13/2023,1,70390799,ZPLF,2524,1,ZP01,SG00GL
175939064,25P2,230,230,"1,000.00",G,CCM,1510940538,1/4/2023,1/13/2023,1,70390799,ZPLF,2524,1,ZP01,SG00GL
175939116,25P2,"1,132.00","1,132.00","2,000.00",G,CCM,1510940596,1/4/2023,1/16/2023,1,70408272,ZPLF,2524,1,ZP01,SG00GO
175939377,25P2,477,477,"1,000.00",G,CCM,1510940427,1/4/2023,1/9/2023,1,70521396,ZPLF,2524,1,ZP01,SG00GO
175939381,25P2,787,787,"2,000.00",G,CCM,1510940514,1/4/2023,1/16/2023,1,70450886,ZPLF,2524,d1,ZP01,SG00GO
175939383,25P2,408,408,"1,000.00",G,CCM,1510940484,1/4/2023,1/9/2023,1,70525152,ZPLF,2524,1,ZP01,SG00GO
175939418,25P2,24,24,0,G,CCM,1510940789,1/4/2023,1/16/2023,1,70396492,ZPLF,2524,1,ZP01,SG00GN
175939424,25P2,"1,006.00","1,006.00","2,000.00",G,CCM,1510940599,1/4/2023,1/16/2023,1,70484079,ZPLF,2524,r1,ZP01,SG00GN
175939730,25P2,729,729,"2,000.00",G,CCM,1510940839,1/4/2023,1/9/2023,1,70548634,ZPLF,2524,1,ZP01,SG00GO
175940230,25P2,90,90,"1,000.00",G,CCM,1510940333,1/4/2023,1/16/2023,1,70337705,ZPLF,2524,1,ZP01,SG00GO
175940326,25P2,100,100,"1,000.00",G,CCM,1510940496,1/4/2023,1/9/2023,1,70525152,ZPLF,2524,1,ZP01,SG00GO
175940391,25P2,18,18,0,G,CCM,1510940425,1/4/2023,1/16/2023,1,70396492,ZPLF,2524,1,ZP01,SG00GN
175940403,25P2,126,126,"1,000.00",G,CCM,1510940396,1/4/2023,1/16/2023,1,70484079,ZPLF,2524,1,ZP01,SG00GN
175940439,25P2,18,18,0,G,CCM,1510940493,1/4/2023,1/16/2023,1,70286419,ZPLF,2524,1,ZP01,SG00GO
175940508,25P2,270,270,"2,000.00",G,CCM,1510940393,1/4/2023,1/6/2023,1,70584255,ZPLF,2524,1,ZP01,SG00GS
175940510,25P2,90,90,"1,000.00",G,CCM,1510940543,1/4/2023,1/16/2023,1,70408272,ZPLF,2524,1,ZP01,SG00GO
175975395,25P2,46,46,0,G,CCM,1510939962,1/4/2023,1/13/2023,1,70019315,ZPLF,2524,1,ZP01,SG00GS
175976033,25P2,36,36,"1,000.00",G,CCM,1510939934,1/4/2023,1/16/2023,1,70019482,ZPLF,2524,1,ZP01,SG00GN
176034811,25P2,"6,672.00","6,672.00","10,000.00",G,CCM,1510959185,1/10/2023,1/10/2023,1,70019261,ZPLF,2522,2,ZP01,SG00GP
176193514,25P2,77,77,"1,000.00",G,CCM,1510971303,1/12/2023,1/16/2023,1,70030499,ZPLF,2510,1,ZP01,SG00GO
176214536,25P2,45,45,0,G,CCM,1510971097,1/12/2023,1/13/2023,1,70390788,ZPLF,2510,1,ZP01,SG00GP
176266200,25P2,652,652,"4,000.00",G,CCM,1510972718,1/12/2023,1/13/2023,1,70390788,ZPLF,2510,2,ZP01,SG00GP
176289390,25P2,58,58,262,G,CCM,1510971091,1/12/2023,1/16/2023,1,70030499,ZPLF,2510,1,ZP01,SG00GO
176297467,25P2,187,187,"1,000.00",G,CCM,1510971190,1/12/2023,1/16/2023,1,70030499,ZPLF,2510,1,ZP01,SG00GO
176297519,25P2,"12,033.00","12,033.00","29,000.00",G,CCM,1510972194,1/12/2023,1/16/2023,1,70030499,ZPLF,2510,3,ZP01,SG00GO
176297520,25P2,"8,249.00","8,249.00","21,000.00",G,CCM,1510970108,1/12/2023,1/16/2023,1,70030499,ZPLF,2510,2,ZP01,SG00GO
176297521,25P2,268,268,"2,000.00",G,CCM,1510971160,1/12/2023,1/16/2023,1,70030499,ZPLF,2510,v1,ZP01,SG00GO
176297972,25P2,"12,363.00","12,363.00","29,000.00",G,CCM,1510972101,1/12/2023,1/13/2023,1,70019315,ZPLF,2510,3,ZP01,SG00GS
176297973,25P2,"4,161.00","4,161.00","10,000.00",G,CCM,1510971362,1/12/2023,1/13/2023,1,70019315,ZPLF,2510,1,ZP01,SG00GS
