Delivery,TransPlnngPt,Total Weight,Net Weight,Total Volume,Weight UOM,Volume UOM,Invoice,Invoice Creation Date,Planned Delivery Date,Shipping Type,Ship to,Delivery Type,Shipping Point,Number of HUs,Transportation Group,Delivery Route
179114892,,150.000,150.000,0.000,G,CCM,1511191202,3/13/2023,3/16/2023,,70490239,ZPLF,2524,1,ZP04,SG00GT
179114296,2501,50.000,50.000,0.000,G,CCM,1511191241,3/13/2023,3/16/2023,Z1,70019455,ZPLF,2524,1,ZP04,SG00FE
179114302,2501,62.000,62.000,0.000,G,CCM,1511192652,3/13/2023,3/16/2023,Z1,70019399,ZPLF,2524,1,ZP04,SG00FG
179119822,2501,112.000,112.000,421.000,G,CCM,1511191491,3/13/2023,3/16/2023,Z1,70034005,ZPLF,2524,1,ZP04,SG00FE
179164112,2501,18.000,18.000,"30,000.000",G,CCM,1004823887,3/13/2023,3/20/2023,Z1,70138238,ZPLF,2550,1,ZP04,SG00FE
179114296,2501,50.000,50.000,0.000,G,CCM,1511191241,3/13/2023,3/16/2023,Z1,70019455,ZPLF,2524,1,ZP04,SG00FE
179114302,2501,62.000,62.000,0.000,G,CCM,1511192652,3/13/2023,3/16/2023,Z1,70019399,ZPLF,2524,1,ZP04,SG00FG
179119822,2501,112.000,112.000,421.000,G,CCM,1511191491,3/13/2023,3/16/2023,Z1,70034005,ZPLF,2524,1,ZP04,SG00FE
179164112,2501,18.000,18.000,"30,000.000",G,CCM,1004823887,3/13/2023,3/20/2023,Z1,70138238,ZPLF,2550,1,ZP04,SG00FE
179114617,2501,50.000,50.000,0.000,G,CCM,1511191260,3/13/2023,3/16/2023,Z1,70396487,ZPLF,2524,1,ZP04,NG00GH
179114898,2501,50.000,50.000,0.000,G,CCM,1511191247,3/13/2023,3/16/2023,Z1,70494784,ZPLF,2524,1,ZP04,NG00GG
179119622,2501,50.000,50.000,"1,000.000",G,CCM,1511191774,3/13/2023,3/16/2023,Z1,70030840,ZPLF,2524,1,ZP04,NG00GG
179120026,2501,81.000,81.000,"1,000.000",G,CCM,1511191096,3/13/2023,3/16/2023,Z1,70019576,ZPLF,2524,1,ZP04,NG00GG
179120437,2501,312.000,312.000,"1,000.000",G,CCM,1511191554,3/13/2023,3/16/2023,Z1,70391033,ZPLF,2524,1,ZP04,NG00GG
179114376,2501,100.000,100.000,105.000,G,CCM,1511191188,3/13/2023,3/17/2023,Z1,70155196,ZPLF,2524,1,ZP04,SG00GV
179119826,2501,50.000,50.000,"1,000.000",G,CCM,1511192563,3/13/2023,3/17/2023,Z1,70225154,ZPLF,2524,1,ZP04,SG00GV
179120193,2501,50.000,50.000,"1,000.000",G,CCM,1511192598,3/13/2023,3/17/2023,Z1,70137842,ZPLF,2524,1,ZP04,SG00GV
179120554,2501,194.000,194.000,"1,000.000",G,CCM,1511192595,3/13/2023,3/17/2023,Z1,70423736,ZPLF,2524,1,ZP04,SG00GV
179055031,2501,0.165,0.165,381.000,G,CCM,1004817744,3/10/2023,3/17/2023,Z1,70006114,ZPLF,2550,1,ZP04,SG00GO
179058309,2501,1.000,1.000,"1,000.000",G,CCM,1004817748,3/10/2023,3/17/2023,Z1,70006157,ZPLF,2550,1,ZP04,SG00GO
179114331,2501,50.000,50.000,0.000,G,CCM,1511191232,3/13/2023,3/27/2023,Z1,70019475,ZPLF,2524,1,ZP04,SG00GO
179114332,2501,62.000,62.000,0.000,G,CCM,1511192681,3/13/2023,3/27/2023,Z1,70084418,ZPLF,2524,1,ZP04,SG00GO
179114341,2501,50.000,50.000,0.000,G,CCM,1511191246,3/13/2023,3/27/2023,Z1,70030492,ZPLF,2524,1,ZP04,SG00GO
179114582,2501,62.000,62.000,0.000,G,CCM,1511192641,3/13/2023,3/16/2023,Z1,70419671,ZPLF,2524,1,ZP04,SG00GW
179114585,2501,62.000,62.000,0.000,G,CCM,1511192670,3/13/2023,3/16/2023,Z1,70155195,ZPLF,2524,1,ZP04,SG00GW
179119471,2501,0.200,0.200,448.000,G,CCM,1511192589,3/13/2023,3/16/2023,Z1,70019307,ZPLF,2524,1,ZP04,SG00GW
179120525,2501,200.000,200.000,"1,000.000",G,CCM,1511192587,3/13/2023,3/16/2023,Z1,70419671,ZPLF,2524,1,ZP04,SG00GW
179120593,2501,50.000,50.000,"1,000.000",G,CCM,1511192597,3/13/2023,3/16/2023,Z1,70391025,ZPLF,2524,1,ZP04,SG00GW
179114619,2501,50.000,50.000,0.000,G,CCM,1511191227,3/13/2023,3/16/2023,Z1,70398393,ZPLF,2524,1,ZP04,NG00GH
179120110,2501,427.000,427.000,"1,000.000",G,CCM,1511191546,3/13/2023,3/16/2023,Z1,70286191,ZPLF,2524,1,ZP04,NG00GH
179120450,2501,162.000,162.000,"1,000.000",G,CCM,1511191548,3/13/2023,3/16/2023,Z1,70464553,ZPLF,2524,1,ZP04,NG00GG
179120481,2501,50.000,50.000,"1,000.000",G,CCM,1511191273,3/13/2023,3/16/2023,Z1,70405783,ZPLF,2524,1,ZP04,NG00GG
179120519,2501,27.000,27.000,0.000,G,CCM,1511191365,3/13/2023,3/16/2023,Z1,70494781,ZPLF,2524,1,ZP04,NG00GH
179030843,2501,420.000,420.000,"3,000.000",G,CCM,1511185781,3/10/2023,3/20/2023,Z1,70019482,ZPLF,2524,1,ZP04,SG00GN
179056766,2501,0.190,0.190,381.000,G,CCM,1004817586,3/10/2023,3/17/2023,Z1,70085612,ZPLF,2550,1,ZP04,SG00FK
179056811,2501,0.169,0.169,381.000,G,CCM,1004817583,3/10/2023,3/17/2023,Z1,70006164,ZPLF,2550,1,ZP04,SG00GN
179114334,2501,50.000,50.000,0.000,G,CCM,1511191238,3/13/2023,3/27/2023,Z1,70084983,ZPLF,2524,1,ZP04,SG00FK
179114900,2501,50.000,50.000,0.000,G,CCM,1511191223,3/13/2023,3/27/2023,Z1,70494788,ZPLF,2524,1,ZP04,SG00GN
179114213,2501,50.000,50.000,0.000,G,CCM,1511191279,3/13/2023,3/17/2023,Z1,70019328,ZPLF,2524,1,ZP04,SG00GV
179114292,2501,112.000,112.000,0.000,G,CCM,1511191811,3/13/2023,3/17/2023,Z1,70042874,ZPLF,2524,1,ZP04,SG00GV
179114577,2501,580.000,580.000,"1,000.000",G,CCM,1511191231,3/13/2023,3/16/2023,Z1,70238808,ZPLF,2524,2,ZP04,SG00GT
179119660,2501,54.000,54.000,423.000,G,CCM,1511192591,3/13/2023,3/17/2023,Z1,70019328,ZPLF,2524,1,ZP04,SG00GV
179119830,2501,427.000,427.000,"2,000.000",G,CCM,1511192596,3/13/2023,3/17/2023,Z1,70042874,ZPLF,2524,1,ZP04,SG00GV
179114130,2501,62.000,62.000,0.000,G,CCM,1511192643,3/13/2023,3/16/2023,Z1,70019420,ZPLF,2524,1,ZP04,SG00FE
179114131,2501,62.000,62.000,0.000,G,CCM,1511192651,3/13/2023,3/16/2023,Z1,70019302,ZPLF,2524,1,ZP04,SG00FE
179114571,2501,50.000,50.000,0.000,G,CCM,1511191256,3/13/2023,3/16/2023,Z1,70390789,ZPLF,2524,1,ZP04,SG00FE
179119377,2501,684.000,684.000,"2,000.000",G,CCM,1511191465,3/13/2023,3/16/2023,Z1,70019420,ZPLF,2524,1,ZP04,SG00FE
179120183,2501,660.000,660.000,"2,000.000",G,CCM,1511190980,3/13/2023,3/16/2023,Z1,70019407,ZPLF,2524,1,ZP04,SG00FE
179055496,2501,0.165,0.165,381.000,G,CCM,1004817754,3/10/2023,3/17/2023,Z1,70247437,ZPLF,2550,1,ZP04,SG00GO
179056872,2501,0.190,0.190,381.000,G,CCM,1004817752,3/10/2023,3/17/2023,Z1,70006228,ZPLF,2550,1,ZP04,SG00GO
179058316,2501,0.190,0.190,381.000,G,CCM,1004817810,3/10/2023,3/17/2023,Z1,70006242,ZPLF,2550,1,ZP04,SG00GO
179058427,2501,1.000,1.000,"2,000.000",G,CCM,1004817746,3/10/2023,3/17/2023,Z1,70085609,ZPLF,2550,1,ZP04,SG00GO
179053278,2501,0.190,0.190,381.000,G,CCM,1004817588,3/10/2023,3/17/2023,Z1,70132828,ZPLF,2550,1,ZP04,SG00FK
179056847,2501,1.000,1.000,"1,000.000",G,CCM,1004817750,3/10/2023,3/17/2023,Z1,70523668,ZPLF,2550,1,ZP04,SG00GO
179056856,2501,0.165,0.165,381.000,G,CCM,1004817753,3/10/2023,3/17/2023,Z1,70030503,ZPLF,2550,1,ZP04,SG00GO
179056900,2501,0.190,0.190,381.000,G,CCM,1004817751,3/10/2023,3/17/2023,Z1,70423817,ZPLF,2550,1,ZP04,SG00GO
179058672,2501,0.453,0.453,"1,000.000",G,CCM,1004817808,3/10/2023,3/17/2023,Z1,70284041,ZPLF,2550,1,ZP04,SG00GO
179043835,2501,840.000,840.000,"5,000.000",G,CCM,1511185829,3/10/2023,3/20/2023,Z1,70130674,ZPLF,2524,1,ZP04,SG00GO
179053482,2501,0.169,0.169,381.000,G,CCM,1004817581,3/10/2023,3/17/2023,Z1,70131040,ZPLF,2550,1,ZP04,SG00GO
179058390,2501,0.190,0.190,381.000,G,CCM,1004817749,3/10/2023,3/17/2023,Z1,70030506,ZPLF,2550,1,ZP04,SG00GO
179114293,2501,62.000,62.000,0.000,G,CCM,1511192663,3/13/2023,3/27/2023,Z1,70132663,ZPLF,2524,1,ZP04,SG00GO
179114345,2501,100.000,100.000,105.000,G,CCM,1511191185,3/13/2023,3/16/2023,Z1,70574708,ZPLF,2524,1,ZP04,SG00GU
179119375,2501,401.000,401.000,"1,000.000",G,CCM,1511192578,3/13/2023,3/16/2023,Z1,70019414,ZPLF,2524,1,ZP04,SG00GU
179119764,2501,27.000,27.000,0.000,G,CCM,1511192593,3/13/2023,3/16/2023,Z1,70019508,ZPLF,2524,1,ZP04,SG00GU
179120302,2501,848.000,848.000,"3,000.000",G,CCM,1511192567,3/13/2023,3/16/2023,Z1,70535012,ZPLF,2524,1,ZP04,SG00GU
179120305,2501,144.000,144.000,"1,000.000",G,CCM,1511192585,3/13/2023,3/16/2023,Z1,70574708,ZPLF,2524,1,ZP04,SG00GU
179114207,2501,28.000,28.000,0.000,G,CCM,1511189347,3/13/2023,3/16/2023,Z1,70019327,ZPLF,2524,1,ZP04,NG00GG
179114289,2501,50.000,50.000,0.000,G,CCM,1511191234,3/13/2023,3/16/2023,Z1,70019519,ZPLF,2524,1,ZP04,NG00GG
179119385,2501,139.000,139.000,"1,000.000",G,CCM,1511191770,3/13/2023,3/16/2023,Z1,70019304,ZPLF,2524,1,ZP04,NG00GG
179119761,2501,201.000,201.000,"1,000.000",G,CCM,1511191767,3/13/2023,3/16/2023,Z1,70019305,ZPLF,2524,1,ZP04,NG00GG
179119774,2501,685.000,685.000,"4,000.000",G,CCM,1511191105,3/13/2023,3/16/2023,Z1,70019519,ZPLF,2524,1,ZP04,NG00GG
179119767,2501,0.200,0.200,405.000,G,CCM,1511191558,3/13/2023,3/16/2023,Z1,70033231,ZPLF,2524,1,ZP04,NG00GH
179119768,2501,50.000,50.000,"1,000.000",G,CCM,1511191263,3/13/2023,3/16/2023,Z1,70157031,ZPLF,2524,1,ZP04,NG00GI
179119910,2501,200.000,200.000,"1,000.000",G,CCM,1511191048,3/13/2023,3/16/2023,Z1,70133556,ZPLF,2524,1,ZP04,NG00GI
179120238,2501,50.000,50.000,"1,000.000",G,CCM,1511191233,3/13/2023,3/16/2023,Z1,70351585,ZPLF,2524,1,ZP04,NG00GI
179120303,2501,112.000,112.000,421.000,G,CCM,1511191520,3/13/2023,3/16/2023,Z1,70422303,ZPLF,2524,1,ZP04,NG00GJ
179114574,2501,50.000,50.000,0.000,G,CCM,1511191243,3/13/2023,3/16/2023,Z1,70391033,ZPLF,2524,1,ZP04,NG00GG
179119542,2501,345.000,345.000,"1,000.000",G,CCM,1511191775,3/13/2023,3/16/2023,Z1,70019313,ZPLF,2524,1,ZP04,NG00GG
179119828,2501,110.000,110.000,"1,000.000",G,CCM,1511191562,3/13/2023,3/16/2023,Z1,70019529,ZPLF,2524,1,ZP04,NG00GG
179119900,2501,0.200,0.200,448.000,G,CCM,1511191099,3/13/2023,3/16/2023,Z1,70019539,ZPLF,2524,1,ZP04,NG00GG
179120444,2501,200.000,200.000,"1,000.000",G,CCM,1511191053,3/13/2023,3/16/2023,Z1,70343299,ZPLF,2524,1,ZP04,NG00GH
179120594,2501,422.000,422.000,"2,000.000",G,CCM,1511191094,3/13/2023,3/16/2023,Z1,70396487,ZPLF,2524,1,ZP04,NG00GH
179053641,2501,0.165,0.165,381.000,G,CCM,1004817806,3/10/2023,3/17/2023,Z1,70153755,ZPLF,2550,1,ZP04,SG00GS
179114339,2501,50.000,50.000,0.000,G,CCM,1511191249,3/13/2023,3/16/2023,Z1,70029798,ZPLF,2524,1,ZP04,SG00GU
179114572,2501,112.000,112.000,0.000,G,CCM,1511191801,3/13/2023,3/16/2023,Z1,70155782,ZPLF,2524,1,ZP04,SG00GU
179119690,2501,345.000,345.000,"1,000.000",G,CCM,1511192580,3/13/2023,3/16/2023,Z1,70155782,ZPLF,2524,1,ZP04,SG00GU
179120301,2501,112.000,112.000,421.000,G,CCM,1511192590,3/13/2023,3/16/2023,Z1,70430246,ZPLF,2524,1,ZP04,SG00GU
179120590,2501,544.000,544.000,"2,000.000",G,CCM,1511192582,3/13/2023,3/16/2023,Z1,70433907,ZPLF,2524,1,ZP04,SG00GU
179114299,2501,50.000,50.000,0.000,G,CCM,1511191239,3/13/2023,3/16/2023,Z1,70019470,ZPLF,2524,1,ZP04,NG00GI
179119824,2501,312.000,312.000,"1,000.000",G,CCM,1511191101,3/13/2023,3/16/2023,Z1,70019525,ZPLF,2524,1,ZP04,NG00GG
179120017,2501,50.000,50.000,"1,000.000",G,CCM,1511191248,3/13/2023,3/16/2023,Z1,70081671,ZPLF,2524,1,ZP04,NG00GJ
179120156,2501,450.000,450.000,"2,000.000",G,CCM,1511191100,3/13/2023,3/16/2023,Z1,70019495,ZPLF,2524,1,ZP04,NG00GG
179120209,2501,260.000,260.000,"1,000.000",G,CCM,1511191095,3/13/2023,3/16/2023,Z1,70337656,ZPLF,2524,1,ZP04,NG00GG
179114618,2501,62.000,62.000,0.000,G,CCM,1511192647,3/13/2023,3/16/2023,Z1,70343297,ZPLF,2524,1,ZP04,SG00FE
179119464,2501,884.000,884.000,"3,000.000",G,CCM,1511191328,3/13/2023,3/16/2023,Z1,70019306,ZPLF,2524,1,ZP04,SG00FE
179119833,2501,250.000,250.000,"1,000.000",G,CCM,1511191208,3/13/2023,3/16/2023,Z1,70225158,ZPLF,2524,1,ZP04,SG00FE
179119766,2501,50.000,50.000,"1,000.000",G,CCM,1511190985,3/13/2023,3/16/2023,Z1,70033204,ZPLF,2524,1,ZP04,SG00FH
179119831,2501,81.000,81.000,"1,000.000",G,CCM,1511190993,3/13/2023,3/16/2023,Z1,70043035,ZPLF,2524,1,ZP04,SG00FH
179120208,2501,312.000,312.000,"1,000.000",G,CCM,1511190997,3/13/2023,3/16/2023,Z1,70083097,ZPLF,2524,1,ZP04,SG00FH
179114182,2501,62.000,62.000,0.000,G,CCM,1511192672,3/13/2023,3/16/2023,Z1,70019429,ZPLF,2524,1,ZP04,SG00FG
179119467,2501,460.000,460.000,"1,000.000",G,CCM,1511191000,3/13/2023,3/16/2023,Z1,70019429,ZPLF,2524,1,ZP04,SG00FG
179119936,2501,112.000,112.000,421.000,G,CCM,1511190990,3/13/2023,3/16/2023,Z1,70248511,ZPLF,2524,1,ZP04,SG00FI
