#{"t_start": 1766639517.000053, "env_id": "None"}
r,l,t
4.3034134,17,7.534645
4.829324,23,8.296857
5.0032625,32,12.022918
4.860489,48,13.324778
3.8892024,2,13.651253
4.7782664,72,14.316894
2.0966358,91,16.681749
4.963142,25,16.88222
4.821911,69,20.762487
4.1826334,6,21.531209
4.6989436,77,26.481935
3.762119,100,26.981052
4.9350905,12,28.144789
2.7474356,4,28.632355
1.3545346,100,29.407007
4.980086,32,31.238335
4.874743,81,32.427829
4.8078165,26,33.302414
4.7949295,41,39.57321
4.518712,8,40.834235
4.510219,45,41.18555
4.0014286,5,41.649638
4.10267,89,42.813128
4.3020377,15,43.777968
3.6513255,100,46.550127
4.272953,9,47.81706
4.910218,54,48.30888
3.9960995,13,49.659376
5.0027165,55,50.868545
4.6632867,85,54.028091
4.839993,59,55.983896
4.639273,59,58.223016
5.134527,23,58.775309
4.6668897,11,60.311208
3.8194613,100,62.363364
4.4052825,14,64.055905
3.6818032,100,66.312198
4.633301,73,67.406407
4.5988684,11,68.696953
4.0012264,7,69.578281
1.2318728,100,72.814486
4.8091702,74,73.51284
4.95931,55,77.070154
2.8858674,29,77.44827
4.442698,12,79.14661
3.5264456,100,79.856034
-0.005,1,79.99399
4.499134,21,81.830148
2.3531606,1,82.04403
4.509532,19,82.377075
4.7774367,81,83.684204
4.745403,17,84.393327
4.168211,11,85.232617
4.9585056,11,85.680257
4.536321,19,87.464493
4.3618107,90,89.019013
4.923413,9,90.19568
3.6712422,100,95.277291
4.431942,41,95.474905
2.7049105,4,95.998442
4.597343,88,97.321414
4.632504,73,97.321414
4.8028483,17,97.859935
4.8286886,7,98.265425
4.303709,6,98.688198
4.4209847,6,99.077215
4.6701975,6,99.67683
4.989843,30,100.327324
4.7578454,62,105.59824
4.0499,9,106.813962
3.8379114,100,111.975996
3.5760493,100,112.495192
2.6248744,100,113.082342
2.433507,2,113.40747
3.5232522,6,113.40747
4.9569163,12,113.771633
5.206235,19,116.058952
4.2840414,30,116.937332
5.0794263,32,117.272023
3.6588404,100,119.281871
4.9856024,46,121.806309
4.958236,38,121.806309
4.737215,48,125.739577
5.03852,65,125.739577
4.7422953,62,130.00948
4.4960084,41,130.999598
4.7156715,80,132.326881
4.834797,38,135.020707
4.250814,93,137.700991
4.907804,48,143.217843
4.8966703,29,143.650702
4.685528,73,144.004578
3.9110699,9,144.513303
3.7337744,100,146.143648
2.7481477,4,146.877218
4.766917,41,149.195402
1.5382838,5,149.79292
3.803777,3,150.241857
1.3743606,100,156.204971
1.3634458,100,156.761566
4.8804555,11,158.156857
3.8216047,100,158.959539
4.1980414,7,159.14887
2.4134543,1,159.14887
4.662811,78,159.73828
4.9396853,14,161.200793
4.5458646,16,161.922806
3.8835135,7,162.846133
4.773791,55,163.755128
4.6322513,13,164.799585
4.9797544,47,167.768592
5.0700784,44,169.771456
3.958361,3,170.28342
4.7837424,80,170.28342
5.073029,41,173.15504
4.6215925,66,173.704982
4.6309996,39,175.688874
2.5374348,18,175.8994
4.707546,72,182.638489
3.5717597,100,183.048559
4.8239255,63,183.319617
4.833732,76,185.108541
5.0104284,21,185.906728
3.6744397,2,186.159196
