#{"t_start": 1766644727.1364343, "env_id": "None"}
r,l,t
0.40389422,1,19.192343
2.8615203,1,19.192688
3.1652987,2,19.930398
3.3293328,2,19.930676
2.028549,1,20.279613
1.645375,1,21.217649
2.6509275,5,26.6551
3.7877986,6,26.914312
3.8649623,3,26.914665
0.55703634,1,29.788491
3.8371208,6,29.788847
1.4741703,1,30.046248
2.8782215,2,30.333122
2.9335368,4,30.333445
1.5952222,1,34.331831
3.0200052,1,34.332142
1.8598635,4,34.332336
3.8341331,3,35.383797
3.0013204,1,35.384122
-0.13977815,1,35.680823
3.672766,4,37.899464
3.8064096,3,41.575705
1.3301142,1,41.576102
4.118492,5,41.576309
1.7204063,2,49.253629
1.4866067,1,53.224174
3.5994554,4,61.874099
3.306985,4,61.874539
3.9478607,9,62.228179
2.5211225,1,62.228523
2.7906609,3,65.402812
3.1177864,2,65.403105
4.386859,3,75.660563
3.4282668,2,78.802241
2.7528653,1,82.431334
4.2868834,5,82.431622
3.9494972,5,82.431755
1.9545307,1,88.995969
3.6243682,7,88.996297
2.4137797,2,89.944086
2.7327385,2,94.623971
3.3956044,6,100.733391
4.271996,6,101.847256
4.1609797,6,101.847581
3.6308873,5,103.974841
3.5040748,7,113.22385
3.2751935,7,113.816423
1.6168602,1,113.816732
1.8138887,1,114.386548
3.4683526,8,114.386876
-0.14824161,1,114.387013
1.840061,2,115.118308
2.5552573,9,117.117736
3.5825016,4,117.540171
3.7928772,3,120.176787
2.464815,2,124.19132
0.55927944,1,124.19168
2.6805649,8,124.735379
1.5761861,1,130.380338
3.6076558,4,132.236041
1.6442939,1,132.236339
3.5677364,6,137.369185
4.229738,9,137.369561
3.1655807,3,137.790926
3.2444582,3,137.791256
2.4429007,1,139.628324
2.7543876,2,139.628645
3.3399844,3,139.89751
2.617108,1,139.8978
0.7412015,2,144.637042
3.3512065,3,147.611639
4.124307,4,147.611953
1.7366322,1,150.07483
4.6794653,6,150.07519
2.416,1,150.075385
4.249562,2,152.867856
3.6266017,3,153.236314
2.634808,1,153.236629
4.3756986,3,153.236808
3.99517,7,157.676819
2.6899817,3,158.158265
1.5328643,2,163.911272
2.88238,7,174.478055
3.951007,8,177.167175
3.3170047,9,189.034859
4.1342463,6,189.035205
3.7899134,5,191.41264
2.3932467,3,204.140888
2.7031007,2,208.394234
4.0286274,7,214.697954
4.5324087,7,214.69825
1.0429347,1,217.792112
3.079835,2,218.07085
2.177002,1,218.24155
3.980682,4,218.241878
2.8042674,3,219.334867
4.4281287,3,224.490088
2.421514,4,224.790041
0.44738743,1,224.790327
3.2741063,17,224.790499
3.7687297,4,227.190903
2.595681,1,228.765725
2.951703,3,232.870398
0.2821384,1,234.249062
3.3103657,2,237.209978
4.2706623,7,239.259937
3.504327,5,239.26029
0.8998274,2,239.553358
-0.005,1,243.016141
2.9902363,2,243.016387
1.7563273,2,243.016478
2.643281,2,249.509733
3.4207144,2,249.510086
4.118562,11,249.510267
3.6426694,2,250.617525
3.9812284,4,259.031551
3.4286535,5,264.354585
4.142677,7,264.354964
3.3014483,10,264.699109
3.3678327,5,265.834972
0.7406051,1,265.835276
3.5429375,2,273.38018
2.9980466,5,280.47256
1.3184981,1,284.868534
3.183189,5,285.847588
3.1167786,4,292.291363
3.8318968,8,292.29169
3.6237323,5,298.806771
3.1806474,3,298.807101
2.9749782,8,317.386005
3.5929718,6,322.740454
2.3907201,1,322.740955
3.088293,8,323.316696
3.3774145,4,326.043765
3.681342,2,326.044071
3.8285806,14,326.044242
3.9485903,3,338.722659
3.2474008,9,339.557679
3.4127867,5,339.55803
1.5486189,1,340.435888
3.0065246,5,340.804434
3.5781472,8,340.804757
3.1993845,4,342.284885
3.661442,5,342.285213
2.9163723,1,342.517923
2.5437715,1,342.518234
-0.005,1,345.469545
3.7039745,5,345.586389
2.3573592,1,346.625255
2.822733,7,355.47516
3.5771573,4,357.712174
3.9680533,6,357.712508
3.279228,2,365.232381
3.66949,9,365.232658
2.9150794,1,369.357296
3.780735,9,377.255867
3.0832376,1,382.996283
3.7380981,5,383.307586
2.1820908,2,385.94928
2.827455,3,385.949594
2.483879,1,386.194733
3.5083847,3,387.320315
3.1280048,3,391.721192
3.585348,12,391.72151
2.4856021,1,391.72168
2.4880834,1,396.49221
1.4363052,1,396.492806
3.7176394,2,403.162873
4.5813446,17,403.163188
3.585256,6,406.643902
3.8574219,4,406.913159
3.2889924,8,412.526498
2.5710232,2,412.526859
4.4737597,6,412.527077
3.3477695,4,412.854665
3.16943,2,413.171338
2.5465236,1,413.695008
3.600737,6,425.890415
0.43186727,1,426.759184
3.879092,9,430.00765
3.3547273,10,430.400848
2.7772863,2,437.266171
2.5257823,1,437.790714
3.2853262,4,437.791014
2.3507495,1,438.514218
3.5659277,10,438.514499
4.053044,4,443.883591
3.1992776,2,443.883985
3.0484142,1,443.884192
2.829897,2,453.846755
2.1361341,2,453.847043
2.8028295,1,456.597616
3.9739113,3,456.598016
2.3108032,2,457.543225
3.7909055,2,459.565121
3.6764064,2,461.675396
2.1881049,1,461.675733
3.9116275,8,467.122674
2.2762127,1,467.123471
3.3778582,3,474.921067
3.1862118,1,477.403122
3.501878,7,484.772602
3.439234,7,485.372199
2.0378551,1,485.720281
3.2668571,4,485.72078
3.2571666,3,485.975187
3.676808,14,486.20436
1.3181723,1,490.41997
3.52452,2,490.420311
1.4771651,1,493.273451
1.4413701,1,499.612282
2.012316,1,499.962551
3.8392584,7,500.379026
3.1865687,1,503.647465
2.3066823,1,504.001387
3.6684036,10,509.872123
2.5872228,1,510.126788
3.4255424,8,510.127029
3.2687159,3,513.982991
3.836786,6,513.983298
2.186356,2,515.019526
2.9396746,2,515.019928
1.1760311,2,515.448466
0.939963,1,515.448771
0.80647653,1,517.913411
3.145861,2,517.913776
2.0093892,1,521.562291
4.0988493,4,521.56264
3.4267147,5,533.116861
3.7765107,6,536.855866
3.078228,6,536.856155
3.462457,8,538.071208
2.955813,2,543.500595
4.209542,6,548.956391
2.4016292,1,549.326313
3.9004943,10,549.326605
1.4150862,1,559.821311
3.4598277,6,559.821799
3.2898426,8,560.04464
3.9494944,2,560.044963
1.444976,1,561.083318
3.057798,3,563.560802
3.103313,4,567.853768
3.62452,6,568.329466
4.047036,5,575.284121
3.2037575,4,575.582339
3.560197,8,578.648168
3.8737128,4,578.648466
2.6800177,1,580.587718
2.338087,3,580.588079
2.4800704,1,583.897168
3.7606726,3,583.897431
3.2206173,3,585.691016
3.1075633,2,587.599136
2.488201,1,587.599636
3.5961323,3,596.320622
2.8496041,8,604.439946
3.803003,5,604.440271
2.5508873,1,607.466796
3.4368331,3,607.467083
3.2852156,8,607.467238
1.5898796,1,608.342087
2.9779239,2,608.611537
2.7731102,3,608.611858
1.0380265,3,608.909842
3.425298,3,611.255371
4.5064573,5,613.374231
3.7849557,3,613.374551
3.0465696,4,613.374648
3.8777199,3,618.802852
2.7198348,5,622.18429
3.2505229,5,622.369568
0.28300008,1,622.369891
2.772618,1,624.611614
2.7246425,3,627.8984
3.7187266,6,632.419559
3.5841732,3,632.419871
3.514479,11,640.338717
3.8381371,4,646.858235
4.1146975,3,646.858563
2.359716,1,650.097398
3.813815,2,650.097733
3.8679163,4,661.553991
2.3570976,2,663.387427
4.077725,8,669.246975
3.7746654,12,669.247309
1.6100601,1,674.316443
