timestep,search_progress,destroy_op,repair_op,accepted,stopped,reward,solution_delta,instance_id
1,0.0,4,2,1,0,0.0,0.0,0
2,0.04,0,0,1,0,-0.0057955654338002205,-0.0072444566,0
3,0.08,4,0,1,0,0.21880993953312886,0.0067625837,0
4,0.12,2,0,1,0,0.1560846406413739,0.109790325,0
5,0.16,2,2,1,0,0.023658190341145115,0.07804232,0
6,0.2,4,0,0,0,-0.009463275782763958,0.011829095,0
7,0.24,2,0,0,0,0.0,0.0,0
8,0.28,2,1,0,0,0.0,0.0,0
9,0.32,4,0,0,0,0.0,0.0,0
10,0.36,0,0,0,0,0.0,0.0,0
11,0.4,2,2,0,0,0.0,0.0,0
12,0.44,0,0,0,1,0.0,0.0,0
13,0.48,3,0,0,1,0.0,0.0,0
1,0.0,3,0,1,1,0.0,0.0,1
2,0.04,0,2,1,0,0.0,0.0,1
3,0.08,2,0,1,0,0.0,0.0,1
4,0.12,3,0,1,0,0.0,0.0,1
5,0.16,2,0,1,0,-0.0012652938021346927,-0.0015816173,1
6,0.2,2,0,1,0,0.02080221015178748,0.0,1
7,0.24,2,1,1,0,0.0,0.0119638005,1
8,0.28,2,0,1,0,0.009434952383959031,0.0,1
9,0.32,0,1,1,0,0.015980336093229627,0.004717476,1
10,0.36,2,2,1,0,0.0,0.007990168,1
11,0.4,2,0,1,0,-0.0041360752657055855,-0.005170094,1
12,0.44,0,0,1,0,0.0,0.0049775466,1
13,0.48,2,0,1,0,0.0,0.0,1
14,0.52,2,0,0,0,0.0,-0.10686719,1
15,0.56,0,2,1,0,0.0,0.0,1
16,0.6,0,0,0,0,0.0,-0.039429758,1
17,0.64,0,0,1,0,0.0,0.0,1
18,0.68,2,0,1,0,0.015775424649448325,0.0,1
19,0.72,0,0,1,0,0.16930967170234834,0.008053182,1
20,0.76,2,2,1,0,0.0,0.08465484,1
21,0.8,2,0,0,1,0.0,-0.14777474,1
22,0.84,2,0,0,1,0.0,0.0,1
1,0.0,3,2,1,1,0.0,0.0,2
2,0.04,0,0,1,0,0.11144616707780389,0.0,2
3,0.08,3,0,1,1,0.0,0.055723082,2
4,0.12,3,0,0,1,0.0,0.0,2
1,0.0,4,1,1,0,0.0,0.0,3
2,0.04,0,0,1,0,-0.02418944239616394,-0.030236803,3
3,0.08,2,0,1,0,0.14857341072916017,0.0,3
4,0.12,2,2,1,0,0.06257893330115454,0.10145581,3
5,0.16,4,0,1,0,0.0,0.031289466,3
6,0.2,2,0,0,0,0.0,-0.10130734,3
7,0.24,3,1,1,0,0.14543070173766443,0.0,3
8,0.28,2,2,1,0,0.039116215581063464,0.07271535,3
9,0.32,2,0,1,0,0.0,0.019558107,3
10,0.36,2,0,0,1,0.0,-0.090601064,3
11,0.4,2,0,1,1,0.0,0.0,3
1,0.0,0,0,1,0,0.0059520512630011554,0.0,4
2,0.04,3,0,1,0,0.09197292756478301,0.0029760257,4
3,0.08,2,1,1,0,0.045752838869684516,0.045986462,4
4,0.12,2,2,1,0,0.06642111356323227,0.02287642,4
5,0.16,2,0,1,0,0.0,0.033210557,4
6,0.2,2,0,1,1,0.03193894208444657,-0.0023931856,4
7,0.24,3,2,1,1,0.0,0.019273805,4
1,0.0,4,2,1,0,0.10590811025228601,0.0,5
2,0.04,0,0,1,0,0.0,0.052954055,5
3,0.08,4,0,1,0,0.21877113666089795,0.0,5
4,0.12,2,0,1,0,0.0,0.109385565,5
5,0.16,2,0,1,0,0.0,0.0,5
6,0.2,2,1,0,0,0.0,-0.029877001,5
7,0.24,2,1,0,0,0.0,0.0,5
8,0.28,4,0,0,0,0.0,0.0,5
9,0.32,2,0,0,0,0.0,0.0,5
10,0.36,0,1,0,0,0.0,0.0,5
11,0.4,2,0,0,0,0.0,0.0,5
12,0.44,0,2,0,0,0.0,0.0,5
13,0.48,3,0,0,1,0.0,0.0,5
14,0.52,3,0,0,1,0.0,0.0,5
1,0.0,3,0,1,1,0.0,0.0,6
2,0.04,0,2,1,0,0.0,0.0,6
3,0.08,2,0,1,0,0.012422062914226557,0.0,6
